Id,Neighborhood,HouseStyle,OverallCond,YearBuilt,RoofStyle,RoofMatl,Foundation,Heating,CentralAir,Electrical,Fireplaces,GarageArea,MoSold,YrSold
1461,NAmes,1Story,6,1961,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,730,06,2010
1462,NAmes,1Story,6,1958,Hip,CompShg,CBlock,GasA,Y,SBrkr,0,312,06,2010
1463,Gilbert,2Story,5,1997,Gable,CompShg,PConc,GasA,Y,SBrkr,1,482,03,2010
1464,Gilbert,2Story,6,1998,Gable,CompShg,PConc,GasA,Y,SBrkr,1,470,06,2010
1465,StoneBr,1Story,5,1992,Gable,CompShg,PConc,GasA,Y,SBrkr,0,506,01,2010
1466,Gilbert,2Story,5,1993,Gable,CompShg,PConc,GasA,Y,SBrkr,1,440,04,2010
1467,Gilbert,1Story,7,1992,Gable,CompShg,PConc,GasA,Y,SBrkr,0,420,03,2010
1468,Gilbert,2Story,5,1998,Gable,CompShg,PConc,GasA,Y,SBrkr,1,393,05,2010
1469,Gilbert,1Story,5,1990,Gable,CompShg,PConc,GasA,Y,SBrkr,1,506,02,2010
1470,NAmes,1Story,5,1970,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,525,04,2010
1471,NAmes,1Story,5,1999,Gable,CompShg,PConc,GasA,Y,SBrkr,1,511,06,2010
1472,BrDale,2Story,5,1971,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,264,02,2010
1473,BrDale,2Story,5,1971,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,320,03,2010
1474,NPkVill,2Story,6,1975,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,440,06,2010
1475,NPkVill,1Story,6,1975,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,308,06,2010
1476,NridgHt,2Story,5,2009,Gable,CompShg,PConc,GasA,Y,SBrkr,1,751,01,2010
1477,NridgHt,1Story,5,2009,Gable,CompShg,PConc,GasA,Y,SBrkr,0,868,06,2010
1478,NridgHt,1Story,5,2005,Hip,CompShg,PConc,GasA,Y,SBrkr,1,730,06,2010
1479,NridgHt,1Story,5,2005,Hip,CompShg,PConc,GasA,Y,SBrkr,1,678,02,2010
1480,NridgHt,1Story,5,2003,Hip,CompShg,PConc,GasA,Y,SBrkr,2,958,06,2010
1481,NridgHt,2Story,5,2002,Gable,CompShg,PConc,GasA,Y,SBrkr,1,756,06,2010
1482,NridgHt,1Story,5,2006,Gable,CompShg,PConc,GasA,Y,SBrkr,1,484,04,2010
1483,Gilbert,1Story,5,2005,Gable,CompShg,PConc,GasA,Y,SBrkr,0,430,01,2010
1484,Blmngtn,1Story,5,2006,Gable,CompShg,PConc,GasA,Y,SBrkr,0,437,01,2010
1485,Gilbert,SLvl,5,2004,Gable,CompShg,PConc,GasA,Y,SBrkr,1,400,06,2010
1486,Gilbert,2Story,5,2004,Gable,CompShg,PConc,GasA,Y,SBrkr,1,433,04,2010
1487,NoRidge,2Story,5,1998,Hip,CompShg,PConc,GasA,Y,SBrkr,1,962,01,2010
1488,Somerst,1Story,5,2005,Gable,CompShg,PConc,GasA,Y,SBrkr,1,880,05,2010
1489,Somerst,1Story,5,2009,Hip,CompShg,PConc,GasA,Y,SBrkr,0,676,04,2010
1490,Somerst,1Story,5,2005,Gable,CompShg,PConc,GasA,Y,SBrkr,1,528,05,2010
1491,SawyerW,2Story,5,2004,Gable,CompShg,PConc,GasA,Y,SBrkr,0,484,04,2010
1492,SawyerW,1Story,5,1920,Gable,CompShg,BrkTil,GasA,N,FuseA,0,429,04,2010
1493,Sawyer,1Story,6,1974,Hip,CompShg,CBlock,GasA,Y,SBrkr,2,461,04,2010
1494,NoRidge,2Story,5,1993,Gable,CompShg,PConc,GasA,Y,SBrkr,1,762,06,2010
1495,NoRidge,2Story,5,1992,Gable,CompShg,PConc,GasA,Y,SBrkr,1,713,06,2010
1496,Somerst,1Story,5,2004,Gable,CompShg,PConc,GasA,Y,SBrkr,1,506,03,2010
1497,Somerst,2Story,5,2004,Gable,CompShg,PConc,GasA,Y,SBrkr,0,588,01,2010
1498,Somerst,2Story,5,2004,Gable,CompShg,PConc,GasA,Y,SBrkr,0,480,04,2010
1499,Somerst,2Story,5,2004,Gable,CompShg,PConc,GasA,Y,SBrkr,0,480,02,2010
1500,Somerst,2Story,5,2005,Gable,CompShg,PConc,GasA,Y,SBrkr,0,480,05,2010
1501,Somerst,2Story,5,2000,Gable,CompShg,PConc,GasA,Y,SBrkr,0,440,05,2010
1502,Somerst,2Story,5,2003,Gable,CompShg,PConc,GasA,Y,SBrkr,0,496,06,2010
1503,Somerst,1Story,5,2010,Gable,CompShg,PConc,GasA,Y,SBrkr,1,852,04,2010
1504,Somerst,2Story,5,2000,Gable,CompShg,PConc,GasA,Y,SBrkr,1,592,04,2010
1505,Somerst,1Story,5,2002,Gable,CompShg,PConc,GasA,Y,SBrkr,1,596,04,2010
1506,NWAmes,1Story,6,1967,Hip,CompShg,CBlock,GasA,Y,SBrkr,0,535,05,2010
1507,NWAmes,2Story,5,1993,Gable,CompShg,PConc,GasA,Y,SBrkr,1,660,03,2010
1508,NWAmes,1.5Fin,5,1978,Gable,CompShg,PConc,GasA,Y,SBrkr,1,678,04,2010
1509,NWAmes,2Story,6,1971,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,441,06,2010
1510,NAmes,1Story,5,1966,Hip,CompShg,CBlock,GasA,Y,SBrkr,0,490,04,2010
1511,NAmes,1Story,5,1966,Hip,CompShg,PConc,GasA,Y,SBrkr,0,504,04,2010
1512,NAmes,1Story,6,1967,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,517,04,2010
1513,NAmes,SLvl,5,1964,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,480,05,2010
1514,NAmes,1Story,6,1962,Hip,CompShg,CBlock,GasA,Y,SBrkr,0,0,01,2010
1515,NAmes,1.5Fin,7,1952,Gable,CompShg,CBlock,GasA,Y,SBrkr,2,400,03,2010
1516,NAmes,1.5Fin,6,1949,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,470,01,2010
1517,NAmes,SFoyer,8,1966,Gable,CompShg,CBlock,GasA,Y,SBrkr,1,315,01,2010
1518,NAmes,1Story,5,1958,Gable,CompShg,CBlock,GasA,Y,SBrkr,0,576,03,2010
1519,NAmes,1Story,5,2003,Gable,CompShg,PConc,GasA,Y,SBrkr,0,620,02,2010
